airline ID,name,iata,icao,country,active
1685,Cega Aviation,None,Ceg,United Kingdom,N
1686,Celtic Airways,None,Cec,United Kingdom,N
1687,Celtic West,None,Cwe,United Kingdom,N
1688,Centavia,7N,Cna,Serbia,N
1689,Cente D'Essais En Vol,None,Cev,France,N
1690,Centennial Airlines,None,Cnl,United States,N
1691,Centennial Flight Centre,None,Cns,Canada,N
1692,Center Vol,None,Cvo,Spain,N
1693,Center-South,None,Cts,Russia,N
1694,Centrafrican Airlines,None,Cet,Central African Republic,N
1695,Central Air Express,None,Cax,Democratic Republic Of Congo,N
1696,Central Airlines,None,Ctl,United States,N
1697,Central Airways,None,Cny,Sierra Leone,N
1698,Central American Airlines,None,Acn,Nicaragua,N
1699,Central Aviation,None,Yog,United States,N
1700,Central Connect Airlines,None,Ccg,Czech Republic,Y
1701,Central De Discos De Reynosa,None,Drn,Mexico,N
1702,Central European Airlines,None,Cma,Czech Republic,N
1703,Central Flying Service,None,Cha,United States,N
1704,Central Mongolia Airways,None,Cem,Mongolia,N
1705,Central Mountain Air,None,Glr,Canada,N
1706,Central Queensland Aviation College,None,Cqc,Australia,N
1707,Central Skyport,None,Csi,United States,N
1708,Centralwings,C0,Clw,Poland,Y
1709,Centre Airlines,None,Dtv,United States,N
1710,Centre Of Applied Geodynamica,None,Cgs,Russia,N
1711,Centre-Avia,J7,Cvc,Russia,N
1712,Centro De Helicopteros Corporativos,None,Ccv,Mexico,N
1713,Centro De Formacion Aeronautica De Canarias,None,Acf,Spain,N
1714,Centurion Air Cargo,We,Cwc,United States,N
1715,Century Aviation,None,Ury,Mexico,N
1716,Century Aviation International,None,Hai,Canada,N
1717,Certified Air Dispatch,None,Xad,United States,N
1718,Cetraca Aviation Service,None,Cer,Democratic Republic Of The Congo,N
1719,Chabahar Airlines,None,Iru,Iran,N
1720,Chalair Aviation,None,Clg,France,N
1721,Chalk'S Ocean Airways,Op,Chk,United States,N
1722,Challenge Air Transport,None,Cls,Germany,N
1723,Challenge Aviation,None,Chs,Australia,N
1724,Challenge International Airlines,None,Off,United States,N
1725,Ac Challenge Aero,None,Chg,Ukraine,N
1726,Champagne Airlines,None,Cph,France,N
1727,Champion Air,Mg,Ccp,United States,N
1728,Chanchangi Airlines,None,Nch,Nigeria,N
1729,Changan Airlines,2Z,Cgn,China,N
1730,Channel Island Aviation,None,Chn,United States,N
1731,Chantilly Air,None,Wml,United States,N
1732,Chaparral Airlines,None,Cpl,United States,N
1733,Chari Aviation Services,S8,Csu,Chad,N
1734,Charlan Air Charter,None,Cah,South Africa,N
1735,Charlie Hammonds Flying Service,None,Hmd,United States,N
1736,Charlotte Air National Guard,None,Cgd,United States,N
1737,Charter Air,None,Chw,Austria,Y
1738,Chartright Air,None,Hrt,Canada,N
1739,Chautauqua Airlines,Rp,Chq,United States,Y
1740,Cheboksary Airenterprise Jsc,None,Cbb,Russia,N
1741,Chemech Aviation,None,Chm,Pakistan,N
1742,Cherline,None,Chz,Russia,N
1743,Chernomor-Avia,None,Cmk,Russia,N
